Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.041868132,0.41895053,0.202972212,0.001392412,0.004084984,0.005517746,0.000524027,0.011021904
0.029232278,0.401845458,0.189068856,0.008180863,0.008508295,0.011720924,0.009648298,0.012049949
0.033920999,0.378430603,0.119199613,0.02548207,0.027314693,0.030643718,0.026165643,0.026440326
0.040508719,0.408439418,0.201769628,0.001719801,0.003586918,0.006713411,0.002061035,0.0016586
0.032091816,0.378726737,0.108916715,0.028198059,0.03293277,0.030169536,0.027712552,0.035366617
0.042378011,0.426374694,0.202715012,0.001392412,0.004084984,0.005517746,0.000524027,0.020823672
0.041612876,0.424309635,0.203227468,0.001392412,0.004084984,0.005517746,0.000524027,0.014802538
0.034807248,0.407391901,0.201812229,0.002923296,0.005538923,0.008243131,0.003034685,0.004858044
0.034050835,0.379735483,0.170756263,0.014717557,0.01633596,0.020390638,0.015703222,0.015664302
0.036251693,0.403502139,0.203184182,0.003481848,0.005444422,0.007778257,0.003508735,0.003518708
0.042776588,0.421626141,0.202063755,0.001392412,0.004084984,0.005517746,0.000524027,0.011626842
0.032728948,0.400968848,0.18139481,0.011694949,0.009940083,0.009112258,0.011488465,0.050978979
0.033184697,0.393984959,0.181747674,0.01009127,0.012089021,0.014821564,0.010526661,0.010149335
0.044089075,0.415818836,0.202725916,0.001392412,0.004084984,0.005517746,0.000524027,0.008658974
0.043480771,0.356417938,0.15236421,0.023115588,0.020174909,0.03178231,0.020592704,0.048290925
0.034301204,0.403803144,0.187933713,0.00623393,0.007330068,0.012406115,0.008154482,0.017434678
0.045053395,0.412984094,0.197563715,0.001165794,0.006534836,0.005517746,0.000524027,0.012741144
0.033158823,0.371698228,0.173423781,0.016458595,0.021262763,0.019851451,0.015301908,0.02885415
0.033979893,0.385973969,0.175463744,0.012588249,0.014560889,0.018013735,0.01329803,0.013291734
0.036249413,0.399963528,0.193679845,0.005960909,0.007836672,0.010399046,0.006450212,0.0060892
0.034274912,0.388636668,0.176438824,0.011956683,0.01393605,0.016962119,0.012247815,0.014294315
0.040562213,0.411902323,0.203510701,0.002159841,0.00404616,0.00555657,0.000524027,0.003724241
0.041105761,0.407007342,0.204867723,0.001085223,0.004814473,0.005169496,0.001345954,0.003074487
0.042084022,0.406604291,0.206166752,0.001392412,0.00407226,0.00512154,0.000932957,0.003426301
0.056422019,0.447997151,0.188418324,0.001392412,0.004084984,0.005517746,0.000524027,0.053822546
0.039138096,0.404616466,0.199221248,0.003123397,0.005810875,0.007823216,0.003695008,0.004240718
0.043458459,0.41196879,0.201381884,0.001392412,0.004084984,0.005517746,0.000524027,0.003871762
0.036007535,0.381669484,0.095737121,0.028361776,0.030861864,0.036993407,0.02839781,0.036285689
0.040322222,0.408252922,0.199154788,0.001814196,0.00385655,0.008638676,0.00257308,0.017692348
0.034406574,0.39227392,0.185154705,0.00967908,0.01017628,0.014941462,0.010364264,0.011306148
